Year,State,Obesity_Rate,Education_Level
2011,Alaska,25.8,Some college or technical school
2011,Alaska,28.8,Less than high school
2011,Alaska,33.1,High school graduate
2011,Alaska,38.0,High school graduate
2011,Alaska,35.3,Less than high school
2011,Alaska,39.9,College graduate
2011,Alaska,40.1,Some college or technical school
2011,Alaska,22.1,College graduate
2011,Alabama,33.2,Less than high school
2011,Alabama,32.8,High school graduate
2011,Alabama,33.6,Less than high school
2011,Alabama,33.8,Some college or technical school
2011,Alabama,26.4,College graduate
2011,Alabama,34.1,High school graduate
2011,Alabama,36.8,College graduate
2011,Alabama,35.0,Some college or technical school
2011,Arkansas,33.8,College graduate
2011,Arkansas,33.2,Less than high school
2011,Arkansas,34.1,High school graduate
2011,Arkansas,33.0,High school graduate
2011,Arkansas,26.4,College graduate
2011,Arkansas,31.1,Less than high school
2011,Arkansas,34.4,Some college or technical school
2011,Arkansas,31.0,Some college or technical school
2011,Arizona,39.5,Some college or technical school
2011,Arizona,25.2,High school graduate
2011,Arizona,34.5,Less than high school
2011,Arizona,37.3,High school graduate
2011,Arizona,38.0,College graduate
2011,Arizona,25.9,Some college or technical school
2011,Arizona,36.2,Less than high school
2011,California,26.4,High school graduate
2011,California,24.0,Some college or technical school
2011,California,34.5,Some college or technical school
2011,California,32.9,Less than high school
2011,California,40.3,Less than high school
2011,California,37.0,High school graduate
2011,California,35.6,College graduate
2011,Colorado,22.3,Some college or technical school
2011,Colorado,25.7,Less than high school
2011,Colorado,33.9,Some college or technical school
2011,Colorado,37.1,High school graduate
2011,Colorado,37.6,Less than high school
2011,Colorado,35.0,College graduate
2011,Colorado,23.5,High school graduate
2011,Connecticut,32.6,Some college or technical school
2011,Connecticut,37.4,Less than high school
2011,Connecticut,36.1,College graduate
2011,Connecticut,26.4,Some college or technical school
2011,Connecticut,29.0,High school graduate
2011,Connecticut,35.3,High school graduate
2011,Connecticut,31.2,Less than high school
2011,District of Columbia,31.0,Some college or technical school
2011,District of Columbia,28.4,Some college or technical school
2011,District of Columbia,30.4,College graduate
2011,District of Columbia,29.5,High school graduate
2011,District of Columbia,25.1,Less than high school
2011,District of Columbia,39.7,Less than high school
2011,District of Columbia,33.0,High school graduate
2011,Delaware,37.1,High school graduate
2011,Delaware,37.0,College graduate
2011,Delaware,30.9,Some college or technical school
2011,Delaware,27.9,High school graduate
2011,Delaware,31.2,Some college or technical school
2011,Delaware,24.1,College graduate
2011,Delaware,34.4,Less than high school
2011,Delaware,35.2,Less than high school
2011,Florida,32.7,Less than high school
2011,Florida,38.2,College graduate
2011,Florida,37.4,High school graduate
2011,Florida,27.4,Some college or technical school
2011,Florida,27.5,High school graduate
2011,Florida,35.2,Some college or technical school
2011,Florida,35.8,Less than high school
2011,Georgia,34.1,Less than high school
2011,Georgia,36.4,Some college or technical school
2011,Georgia,28.6,Some college or technical school
2011,Georgia,30.5,Less than high school
2011,Georgia,29.5,High school graduate
2011,Georgia,38.1,College graduate
